ID,P18_genere,P19_edat,P21_salari_brut_anual,P22_urba_rural,P22_provincia
180,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_barcelona
181,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
182,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
183,R18_home,R19_16-24anys,R21_25000-35999,R22_semidens,R22_barcelona
184,R18_dona,R19_45-54anys,R21_50000_mes,R22_semidens,R22_tarragona
185,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
186,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
187,R18_home,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
188,R18_dona,R19_45-54anys,R21_17000-24999,R22_urba,R22_barcelona
189,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
190,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
191,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
192,R18_home,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
193,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
194,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
195,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
196,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
197,R18_home,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
198,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_tarragona
199,R18_home,R19_45-54anys,R21_36000-49999,R22_semidens,R22_barcelona
200,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
201,R18_home,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
202,R18_dona,R19_35-44anys,R21_50000_mes,R22_semidens,R22_barcelona
204,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
205,R18_dona,R19_16-24anys,R21_25000-35999,R22_urba,R22_barcelona
206,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
207,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
208,R18_home,R19_65anys_mes,R21_36000-49999,R22_urba,R22_barcelona
209,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
210,R18_dona,R19_55-64anys,R21_17000-24999,R22_urba,R22_barcelona
211,R18_dona,R19_45-54anys,R21_36000-49999,R22_semidens,R22_tarragona
212,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
213,R18_dona,R19_65anys_mes,R21_17000-24999,R22_urba,R22_barcelona
214,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
215,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_tarragona
216,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_tarragona
217,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
218,R18_home,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
219,R18_dona,R19_45-54anys,R21_17000-24999,R22_semidens,R22_tarragona
220,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_tarragona
221,R18_dona,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
222,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
223,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
224,R18_home,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
225,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
226,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
227,R18_dona,R19_35-44anys,R21_menys_11000,R22_urba,R22_barcelona
228,R18_dona,R19_35-44anys,R21_17000-24999,R22_urba,R22_barcelona
