cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Girona,High,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Lleida,High,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Tarragona,High,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Barcelona,Low,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Girona,Low,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Lleida,Low,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Tarragona,Low,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Barcelona,Medium,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Girona,Medium,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Lleida,Medium,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Tarragona,Medium,NA,FALSE,Shopping experience,Q22C_province,0.24709420711691124,,motivations
Man,High,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
Woman,High,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
Man,Low,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
Woman,Low,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
Man,Medium,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
Woman,Medium,NA,FALSE,Trendiness,Q18_gender,0.2845260019699687,,motivations
16-34,High,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
35-54,High,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
≥ 55,High,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
16-34,Low,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
35-54,Low,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
≥ 55,Low,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
16-34,Medium,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
35-54,Medium,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
≥ 55,Medium,NA,FALSE,Trendiness,Q19_age,0.13422111832136255,,motivations
"[17,000, 36,000)",High,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"< 17,000",High,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"≥ 36,000",High,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"[17,000, 36,000)",Low,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"< 17,000",Low,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"≥ 36,000",Low,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"[17,000, 36,000)",Medium,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"< 17,000",Medium,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
"≥ 36,000",Medium,NA,FALSE,Trendiness,Q21_annual_gross_salary,0.33522635261295586,,motivations
Rural,High,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Town and suburb,High,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Urban,High,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Rural,Low,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Town and suburb,Low,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Urban,Low,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Rural,Medium,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Town and suburb,Medium,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Urban,Medium,NA,FALSE,Trendiness,Q22B_degurba,0.38645131289791407,,motivations
Barcelona,High,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Girona,High,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Lleida,High,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Tarragona,High,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Barcelona,Low,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Girona,Low,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Lleida,Low,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Tarragona,Low,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Barcelona,Medium,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Girona,Medium,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Lleida,Medium,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Tarragona,Medium,NA,FALSE,Trendiness,Q22C_province,0.7147723965907152,,motivations
Man,High,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
Woman,High,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
Man,Low,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
Woman,Low,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
Man,Medium,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
Woman,Medium,NA,FALSE,Perceived higher quality,Q18_gender,0.7518719455711945,,motivations
16-34,High,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
35-54,High,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
≥ 55,High,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
16-34,Low,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
35-54,Low,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
≥ 55,Low,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
16-34,Medium,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
35-54,Medium,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
≥ 55,Medium,NA,FALSE,Perceived higher quality,Q19_age,0.5562177016247293,,motivations
"[17,000, 36,000)",High,NA,FALSE,Perceived higher quality,Q21_annual_gross_salary,0.8004132052184982,,motivations
"< 17,000",High,NA,FALSE,Perceived higher quality,Q21_annual_gross_salary,0.8004132052184982,,motivations
"≥ 36,000",High,NA,FALSE,Perceived higher quality,Q21_annual_gross_salary,0.8004132052184982,,motivations
"[17,000, 36,000)",Low,NA,FALSE,Perceived higher quality,Q21_annual_gross_salary,0.8004132052184982,,motivations
