cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Rural,Medium,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Town and suburb,Medium,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Urban,Medium,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Barcelona,High,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Girona,High,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Lleida,High,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Tarragona,High,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Barcelona,Low,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Girona,Low,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Lleida,Low,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Tarragona,Low,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Barcelona,Medium,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Girona,Medium,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Lleida,Medium,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Tarragona,Medium,NA,FALSE,Limited style availability,Q22C_province,0.3125291305019379,,barriers
Man,High,-1.3106860865246386,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
Woman,High,1.42299915644533,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
Man,Low,0.9664462559542316,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
Woman,Low,-1.0492613152087251,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
Man,Medium,-0.3268133100077134,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
Woman,Medium,0.35481803708560244,FALSE,Limited size availability,Q18_gender,0.04952649329686283,,barriers
16-34,High,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
35-54,High,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
≥ 55,High,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
16-34,Low,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
35-54,Low,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
≥ 55,Low,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
16-34,Medium,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
35-54,Medium,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
≥ 55,Medium,NA,FALSE,Limited size availability,Q19_age,0.31496240647692736,,barriers
"[17,000, 36,000)",High,0.7187023141973438,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"< 17,000",High,2.1613023462273344,TRUE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,*,barriers
"≥ 36,000",High,-2.2416457999646893,TRUE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,*,barriers
"[17,000, 36,000)",Low,0.2394764472827223,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"< 17,000",Low,-1.8160343325916015,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"≥ 36,000",Low,0.9862475079318592,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"[17,000, 36,000)",Medium,-0.983473244861348,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"< 17,000",Medium,0.8749495632746858,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
"≥ 36,000",Medium,0.4484407628611336,FALSE,Limited size availability,Q21_annual_gross_salary,0.00244416175630835,,barriers
Rural,High,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Town and suburb,High,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Urban,High,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Rural,Low,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Town and suburb,Low,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Urban,Low,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Rural,Medium,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Town and suburb,Medium,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Urban,Medium,NA,FALSE,Limited size availability,Q22B_degurba,0.39302026710686094,,barriers
Barcelona,High,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Girona,High,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Lleida,High,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Tarragona,High,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Barcelona,Low,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Girona,Low,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Lleida,Low,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Tarragona,Low,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
